Gene stable ID	Transcript stable ID	Protein stable ID
ENSMUSG00000102031	ENSMUST00000186564	
ENSMUSG00000102031	ENSMUST00000185613	
ENSMUSG00000100408	ENSMUST00000185615	
ENSMUSG00000100991	ENSMUST00000187547	
ENSMUSG00000102116	ENSMUST00000186065	
ENSMUSG00000101637	ENSMUST00000188609	
ENSMUSG00000101649	ENSMUST00000187152	
ENSMUSG00000101649	ENSMUST00000191334	
ENSMUSG00000100245	ENSMUST00000186766	
ENSMUSG00000095353	ENSMUST00000179570	
ENSMUSG00000100469	ENSMUST00000188733	
ENSMUSG00000101802	ENSMUST00000189947	
ENSMUSG00000101802	ENSMUST00000188849	
ENSMUSG00000100821	ENSMUST00000185214	
ENSMUSG00000101058	ENSMUST00000188787	
ENSMUSG00000099790	ENSMUST00000191277	
ENSMUSG00000099790	ENSMUST00000190411	
ENSMUSG00000100187	ENSMUST00000188242	
ENSMUSG00000100187	ENSMUST00000186348	
ENSMUSG00000101594	ENSMUST00000189508	
ENSMUSG00000101962	ENSMUST00000189417	
ENSMUSG00000101962	ENSMUST00000189713	
ENSMUSG00000100978	ENSMUST00000189184	
ENSMUSG00000100519	ENSMUST00000187654	
ENSMUSG00000100598	ENSMUST00000191001	
ENSMUSG00000100011	ENSMUST00000190542	
ENSMUSG00000100011	ENSMUST00000189883	
ENSMUSG00000100591	ENSMUST00000185653	
ENSMUSG00000100879	ENSMUST00000189014	
ENSMUSG00000100974	ENSMUST00000191319	
ENSMUSG00000101675	ENSMUST00000190023	
ENSMUSG00000101675	ENSMUST00000191406	
ENSMUSG00000099480	ENSMUST00000191099	
ENSMUSG00000099480	ENSMUST00000188498	
ENSMUSG00000101914	ENSMUST00000191392	
ENSMUSG00000099834	ENSMUST00000188442	
ENSMUSG00000100499	ENSMUST00000186085	
ENSMUSG00000100499	ENSMUST00000190590	
ENSMUSG00000100298	ENSMUST00000185286	
ENSMUSG00000100256	ENSMUST00000189757	
ENSMUSG00000100256	ENSMUST00000187800	
ENSMUSG00000101201	ENSMUST00000188470	
ENSMUSG00000101003	ENSMUST00000190521	
ENSMUSG00000101003	ENSMUST00000185638	
ENSMUSG00000100438	ENSMUST00000185728	
ENSMUSG00000100640	ENSMUST00000185563	
ENSMUSG00000100628	ENSMUST00000188651	
ENSMUSG00000100989	ENSMUST00000188795	
ENSMUSG00000100268	ENSMUST00000185978	
ENSMUSG00000100003	ENSMUST00000191146	
ENSMUSG00000100003	ENSMUST00000190248	
ENSMUSG00000101343	ENSMUST00000191448	
ENSMUSG00000101907	ENSMUST00000188599	
ENSMUSG00000099462	ENSMUST00000191354	
ENSMUSG00000099462	ENSMUST00000187473	
ENSMUSG00000100035	ENSMUST00000185588	
ENSMUSG00000100035	ENSMUST00000186503	
ENSMUSG00000101434	ENSMUST00000191470	
ENSMUSG00000101072	ENSMUST00000188007	
ENSMUSG00000100061	ENSMUST00000190384	
ENSMUSG00000100994	ENSMUST00000187487	
ENSMUSG00000100611	ENSMUST00000189954	
ENSMUSG00000100861	ENSMUST00000189549	
ENSMUSG00000100317	ENSMUST00000186078	
ENSMUSG00000101138	ENSMUST00000186332	
ENSMUSG00000101138	ENSMUST00000187495	
ENSMUSG00000101329	ENSMUST00000186916	
ENSMUSG00000100871	ENSMUST00000186199	
ENSMUSG00000100871	ENSMUST00000189703	
ENSMUSG00000100532	ENSMUST00000187730	
ENSMUSG00000100532	ENSMUST00000188925	
ENSMUSG00000100716	ENSMUST00000190596	
ENSMUSG00000100716	ENSMUST00000189125	
ENSMUSG00000099374	ENSMUST00000186754	
ENSMUSG00000100325	ENSMUST00000188638	
ENSMUSG00000100325	ENSMUST00000186629	
ENSMUSG00000100882	ENSMUST00000189065	
ENSMUSG00000100048	ENSMUST00000187297	
ENSMUSG00000101772	ENSMUST00000186231	
ENSMUSG00000099667	ENSMUST00000189568	
ENSMUSG00000099789	ENSMUST00000186615	
ENSMUSG00000099789	ENSMUST00000185875	
ENSMUSG00000099593	ENSMUST00000186714	
ENSMUSG00000099593	ENSMUST00000189532	
ENSMUSG00000101109	ENSMUST00000188821	
ENSMUSG00000101109	ENSMUST00000187693	
ENSMUSG00000101582	ENSMUST00000186601	
ENSMUSG00000101541	ENSMUST00000189175	
ENSMUSG00000101541	ENSMUST00000187964	
ENSMUSG00000101273	ENSMUST00000187739	
